Variables,(1) Baseline,(2) Firm FE,(3) Firm+Year FE,(4) Dynamic
D_Post,"0.024***
(0.005)","0.011**
(0.005)",,
D_Treated,"-0.046***
(0.011)",,,
D_Post_x_Treated,"0.003
(0.010)","0.014
(0.010)","0.014
(0.010)",
,,,,
D_Treated_x_year_2005.0,,,,"-0.071***
(0.015)"
D_Treated_x_year_2006.0,,,,"-0.064***
(0.014)"
D_Treated_x_year_2007.0,,,,"-0.051***
(0.014)"
D_Treated_x_year_2008.0,,,,"-0.041***
(0.014)"
D_Treated_x_year_2009.0,,,,"-0.052***
(0.013)"
D_Treated_x_year_2010.0,,,,"-0.070***
(0.012)"
D_Treated_x_year_2011.0,,,,"-0.059***
(0.011)"
D_Treated_x_year_2012.0,,,,"-0.051***
(0.011)"
D_Treated_x_year_2013.0,,,,"-0.036***
(0.011)"
D_Treated_x_year_2014.0,,,,"-0.025***
(0.010)"
D_Treated_x_year_2015.0,,,,"-0.014*
(0.007)"
D_Treated_x_year_2016.0,,,,
R-squared,0.116,0.021,0.008,0.025
N,16257.0,16257,16257,16257
